key,id,name,type,variable,value,year,crime_type,place_name
1600000US0662000--2011--Burglary--count,1600000US0662000,"Riverside, California",place,count,2080.0,2011,Burglary,"Riverside, CA"
1600000US0662000--2009--Violent crime--rate,1600000US0662000,"Riverside, California",place,rate,511.88677798119863,2009,Violent crime,"Riverside, CA"
1600000US0662000--2008--Murder and nonnegligent manslaughter--count,1600000US0662000,"Riverside, California",place,count,19.0,2008,Murder and nonnegligent manslaughter,"Riverside, CA"
1600000US0662000--2011--Property crime--rate,1600000US0662000,"Riverside, California",place,rate,3132.613199845175,2011,Property crime,"Riverside, CA"
1600000US0662000--2010--Violent crime--rate,1600000US0662000,"Riverside, California",place,rate,479.69416184377474,2010,Violent crime,"Riverside, CA"
1600000US0662000--2012--Forcible rape--rate,1600000US0662000,"Riverside, California",place,rate,24.239949989155807,2012,Forcible rape,"Riverside, CA"
1600000US0662000--2009--Motor vehicle theft--count,1600000US0662000,"Riverside, California",place,count,1331.0,2009,Motor vehicle theft,"Riverside, CA"
1600000US0662000--2014--Motor vehicle theft--rate,1600000US0662000,"Riverside, California",place,rate,481.7610102268565,2014,Motor vehicle theft,"Riverside, CA"
1600000US0662000--2011--Property crime--count,1600000US0662000,"Riverside, California",place,count,9631.0,2011,Property crime,"Riverside, CA"
1600000US0662000--2006--Murder and nonnegligent manslaughter--rate,1600000US0662000,"Riverside, California",place,rate,3.758139789134193,2006,Murder and nonnegligent manslaughter,"Riverside, CA"
1600000US0662000--2011--Arson--count,1600000US0662000,"Riverside, California",place,count,49.0,2011,Arson,"Riverside, CA"
1600000US0662000--2006--Burglary--count,1600000US0662000,"Riverside, California",place,count,2372.0,2006,Burglary,"Riverside, CA"
1600000US0662000--2013--Rape (revised definition)--rate,1600000US0662000,"Riverside, California",place,rate,0.0,2013,Rape (revised definition),"Riverside, CA"
1600000US0662000--2013--Arson--count,1600000US0662000,"Riverside, California",place,count,75.0,2013,Arson,"Riverside, CA"
1600000US0662000--2009--Burglary--rate,1600000US0662000,"Riverside, California",place,rate,673.6229912195578,2009,Burglary,"Riverside, CA"
1600000US0662000--2010--Property crime--count,1600000US0662000,"Riverside, California",place,count,9963.0,2010,Property crime,"Riverside, CA"
1600000US0662000--2006--Violent crime--rate,1600000US0662000,"Riverside, California",place,rate,688.0812304832968,2006,Violent crime,"Riverside, CA"
1600000US0662000--2008--Robbery--rate,1600000US0662000,"Riverside, California",place,rate,242.4979290810464,2008,Robbery,"Riverside, CA"
1600000US0662000--2008--Burglary--rate,1600000US0662000,"Riverside, California",place,rate,737.5143628250006,2008,Burglary,"Riverside, CA"
1600000US0662000--2010--Aggravated assault--rate,1600000US0662000,"Riverside, California",place,rate,284.56994822085807,2010,Aggravated assault,"Riverside, CA"
1600000US0662000--2006--Violent crime--count,1600000US0662000,"Riverside, California",place,count,2014.0,2006,Violent crime,"Riverside, CA"
1600000US0662000--2010--All Crimes--rate,1600000US0662000,"Riverside, California",place,rate,7576.716281442661,2010,All Crimes,"Riverside, CA"
1600000US0662000--2011--Arson--rate,1600000US0662000,"Riverside, California",place,rate,15.937913694571025,2011,Arson,"Riverside, CA"
1600000US0662000--2008--Motor vehicle theft--count,1600000US0662000,"Riverside, California",place,count,1621.0,2008,Motor vehicle theft,"Riverside, CA"
1600000US0662000--2010--Burglary--rate,1600000US0662000,"Riverside, California",place,rate,685.088070920529,2010,Burglary,"Riverside, CA"
1600000US0662000--2013--All Crimes--count,1600000US0662000,"Riverside, California",place,count,23951.0,2013,All Crimes,"Riverside, CA"
1600000US0662000--2008--Arson--rate,1600000US0662000,"Riverside, California",place,rate,41.75239825775592,2008,Arson,"Riverside, CA"
1600000US0662000--2012--Property crime--count,1600000US0662000,"Riverside, California",place,count,10818.0,2012,Property crime,"Riverside, CA"
1600000US0662000--2007--Property crime--count,1600000US0662000,"Riverside, California",place,count,11154.0,2007,Property crime,"Riverside, CA"
1600000US0662000--2011--Violent crime--count,1600000US0662000,"Riverside, California",place,count,1310.0,2011,Violent crime,"Riverside, CA"
1600000US0662000--2013--Burglary--count,1600000US0662000,"Riverside, California",place,count,1978.0,2013,Burglary,"Riverside, CA"
1600000US0662000--2013--Rape (legacy definition)--rate,1600000US0662000,"Riverside, California",place,rate,24.650546894505137,2013,Rape (legacy definition),"Riverside, CA"
1600000US0662000--2007--Aggravated assault--rate,1600000US0662000,"Riverside, California",place,rate,368.8458865665259,2007,Aggravated assault,"Riverside, CA"
1600000US0662000--2009--Aggravated assault--count,1600000US0662000,"Riverside, California",place,count,755.0,2009,Aggravated assault,"Riverside, CA"
1600000US0662000--2008--Motor vehicle theft--rate,1600000US0662000,"Riverside, California",place,rate,541.4451006065789,2008,Motor vehicle theft,"Riverside, CA"
1600000US0662000--2010--Larceny--rate,1600000US0662000,"Riverside, California",place,rate,2131.458727419093,2010,Larceny,"Riverside, CA"
1600000US0662000--2010--All Crimes--count,1600000US0662000,"Riverside, California",place,count,22871.0,2010,All Crimes,"Riverside, CA"
1600000US0662000--2008--Property crime--rate,1600000US0662000,"Riverside, California",place,rate,3693.918178660182,2008,Property crime,"Riverside, CA"
1600000US0662000--2006--Property crime--rate,1600000US0662000,"Riverside, California",place,rate,4191.009163028104,2006,Property crime,"Riverside, CA"
1600000US0662000--2006--Larceny--count,1600000US0662000,"Riverside, California",place,count,7471.0,2006,Larceny,"Riverside, CA"
1600000US0662000--2008--Larceny--rate,1600000US0662000,"Riverside, California",place,rate,2414.9587152286026,2008,Larceny,"Riverside, CA"
1600000US0662000--2007--Arson--rate,1600000US0662000,"Riverside, California",place,rate,34.412252098145075,2007,Arson,"Riverside, CA"
1600000US0662000--2008--Murder and nonnegligent manslaughter--rate,1600000US0662000,"Riverside, California",place,rate,6.346364535178901,2008,Murder and nonnegligent manslaughter,"Riverside, CA"
1600000US0662000--2014--Violent crime--count,1600000US0662000,"Riverside, California",place,count,1384.0,2014,Violent crime,"Riverside, CA"
1600000US0662000--2009--All Crimes--count,1600000US0662000,"Riverside, California",place,count,22329.0,2009,All Crimes,"Riverside, CA"
1600000US0662000--2009--Forcible rape--rate,1600000US0662000,"Riverside, California",place,rate,32.680719375998336,2009,Forcible rape,"Riverside, CA"
1600000US0662000--2009--Murder and nonnegligent manslaughter--rate,1600000US0662000,"Riverside, California",place,rate,5.002150924897706,2009,Murder and nonnegligent manslaughter,"Riverside, CA"
1600000US0662000--2014--Larceny--count,1600000US0662000,"Riverside, California",place,count,6794.0,2014,Larceny,"Riverside, CA"
1600000US0662000--2014--Larceny--rate,1600000US0662000,"Riverside, California",place,rate,2126.760431111932,2014,Larceny,"Riverside, CA"
1600000US0662000--2011--All Crimes--count,1600000US0662000,"Riverside, California",place,count,21931.0,2011,All Crimes,"Riverside, CA"
1600000US0662000--2012--Aggravated assault--rate,1600000US0662000,"Riverside, California",place,rate,248.77843409923068,2012,Aggravated assault,"Riverside, CA"
1600000US0662000--2013--Robbery--rate,1600000US0662000,"Riverside, California",place,rate,156.43616298435958,2013,Robbery,"Riverside, CA"
1600000US0662000--2007--Property crime--rate,1600000US0662000,"Riverside, California",place,rate,3726.5462126476723,2007,Property crime,"Riverside, CA"
1600000US0662000--2013--Property crime--count,1600000US0662000,"Riverside, California",place,count,10608.0,2013,Property crime,"Riverside, CA"
1600000US0662000--2013--Arson--rate,1600000US0662000,"Riverside, California",place,rate,23.702448937024172,2013,Arson,"Riverside, CA"
1600000US0662000--2006--Murder and nonnegligent manslaughter--count,1600000US0662000,"Riverside, California",place,count,11.0,2006,Murder and nonnegligent manslaughter,"Riverside, CA"
1600000US0662000--2011--Robbery--rate,1600000US0662000,"Riverside, California",place,rate,148.97070351252103,2011,Robbery,"Riverside, CA"
1600000US0662000--2012--Burglary--rate,1600000US0662000,"Riverside, California",place,rate,716.6732582320145,2012,Burglary,"Riverside, CA"
1600000US0662000--2011--Aggravated assault--rate,1600000US0662000,"Riverside, California",place,rate,254.3560920235621,2011,Aggravated assault,"Riverside, CA"
1600000US0662000--2010--Violent crime--count,1600000US0662000,"Riverside, California",place,count,1448.0,2010,Violent crime,"Riverside, CA"
1600000US0662000--2011--Burglary--rate,1600000US0662000,"Riverside, California",place,rate,676.5481731573008,2011,Burglary,"Riverside, CA"
1600000US0662000--2010--Burglary--count,1600000US0662000,"Riverside, California",place,count,2068.0,2010,Burglary,"Riverside, CA"
1600000US0662000--2014--Property crime--rate,1600000US0662000,"Riverside, California",place,rate,3087.7781708107286,2014,Property crime,"Riverside, CA"
1600000US0662000--2013--Robbery--count,1600000US0662000,"Riverside, California",place,count,495.0,2013,Robbery,"Riverside, CA"
1600000US0662000--2006--Robbery--count,1600000US0662000,"Riverside, California",place,count,814.0,2006,Robbery,"Riverside, CA"
1600000US0662000--2014--Burglary--rate,1600000US0662000,"Riverside, California",place,rate,479.2567294719411,2014,Burglary,"Riverside, CA"
1600000US0662000--2011--Murder and nonnegligent manslaughter--rate,1600000US0662000,"Riverside, California",place,rate,4.228426082233129,2011,Murder and nonnegligent manslaughter,"Riverside, CA"
1600000US0662000--2010--Forcible rape--count,1600000US0662000,"Riverside, California",place,count,78.0,2010,Forcible rape,"Riverside, CA"
1600000US0662000--2014--Burglary--count,1600000US0662000,"Riverside, California",place,count,1531.0,2014,Burglary,"Riverside, CA"
1600000US0662000--2014--Aggravated assault--rate,1600000US0662000,"Riverside, California",place,rate,246.6716543591702,2014,Aggravated assault,"Riverside, CA"
1600000US0662000--2013--Rape (revised definition)--count,1600000US0662000,"Riverside, California",place,count,,2013,Rape (revised definition),"Riverside, CA"
1600000US0662000--2007--All Crimes--count,1600000US0662000,"Riverside, California",place,count,26197.0,2007,All Crimes,"Riverside, CA"
1600000US0662000--2012--Larceny--count,1600000US0662000,"Riverside, California",place,count,7095.0,2012,Larceny,"Riverside, CA"
1600000US0662000--2013--Motor vehicle theft--rate,1600000US0662000,"Riverside, California",place,rate,542.9440969841004,2013,Motor vehicle theft,"Riverside, CA"
1600000US0662000--2014--All Crimes--count,1600000US0662000,"Riverside, California",place,count,22584.0,2014,All Crimes,"Riverside, CA"
1600000US0662000--2015--All Crimes--rate,1600000US0662000,"Riverside, California",place,rate,7433.511626179334,2015,All Crimes,"Riverside, CA"
1600000US0662000--2015--All Crimes--rate,1600000US0662000,"Riverside, California",place,rate,7433.511626179334,2015,All Crimes,"Riverside, CA"
1600000US0662000--2015--Larceny--rate,1600000US0662000,"Riverside, California",place,rate,2211.3265483000273,2015,Larceny,"Riverside, CA"
1600000US0662000--2015--Larceny--rate,1600000US0662000,"Riverside, California",place,rate,2211.3265483000273,2015,Larceny,"Riverside, CA"
1600000US0662000--2016--Arson--count,1600000US0662000,"Riverside, California",place,count,57.0,2016,Arson,"Riverside, CA"
1600000US0662000--2015--Arson--count,1600000US0662000,"Riverside, California",place,count,71.0,2015,Arson,"Riverside, CA"
1600000US0662000--2015--Arson--count,1600000US0662000,"Riverside, California",place,count,71.0,2015,Arson,"Riverside, CA"
1600000US0662000--2016--Burglary--rate,1600000US0662000,"Riverside, California",place,rate,606.6352455998232,2016,Burglary,"Riverside, CA"
1600000US0662000--2016--Larceny--rate,1600000US0662000,"Riverside, California",place,rate,2256.8549475906425,2016,Larceny,"Riverside, CA"
1600000US0662000--2015--Robbery--rate,1600000US0662000,"Riverside, California",place,rate,160.95881930515316,2015,Robbery,"Riverside, CA"
1600000US0662000--2015--Robbery--rate,1600000US0662000,"Riverside, California",place,rate,160.95881930515316,2015,Robbery,"Riverside, CA"
