name,type,variable,value,year,crime_type
"Riverside, California",place,rate,2020.894876,2017,Larceny
"Riverside, California",place,rate,165.8420294,2017,Robbery
"Riverside, California",place,rate,509.331706,2018,Violent crime
"Riverside, California",place,rate,4.229326148,2018,Murder and nonnegligent manslaughter
"Riverside, California",place,rate,557.3647673,2018,Motor vehicle theft
"Riverside, California",place,rate,45.31420872,2018,Rape (revised definition)
"Riverside, California",place,rate,164.0374356,2018,Robbery
"Riverside, California",place,rate,2087.776643,2018,Larceny
"Riverside, California",place,rate,22.05291491,2018,Arson
"Riverside, California",place,rate,444.0792455,2018,Burglary
"Riverside, California",place,rate,3089.220656,2018,Property crime
"Riverside, California",place,rate,295.7507356,2018,Aggravated assault
"Riverside, California",place,rate,107219.1576,2018,All Crimes
"Colorado Springs, Colorado",place,rate,4797.150796,2006,Property crime
"Colorado Springs, Colorado",place,rate,416.8526928,2012,Motor vehicle theft
"Colorado Springs, Colorado",place,rate,88.52995352,2008,Forcible rape
"Colorado Springs, Colorado",place,rate,442.0923258,2013,Motor vehicle theft
"Colorado Springs, Colorado",place,rate,434.0667908,2013,Violent crime
"Colorado Springs, Colorado",place,rate,85.65182533,2009,Forcible rape
"Colorado Springs, Colorado",place,rate,9209.159656,2012,All Crimes
"Colorado Springs, Colorado",place,rate,9450.445605,2010,All Crimes
"Colorado Springs, Colorado",place,rate,8336.860661,2009,All Crimes
"Colorado Springs, Colorado",place,rate,66.61235062,2006,Forcible rape
"Colorado Springs, Colorado",place,rate,130.7186288,2009,Robbery
"Colorado Springs, Colorado",place,rate,105.9762085,2011,Robbery
"Colorado Springs, Colorado",place,rate,888.2531375,2006,Burglary
"Colorado Springs, Colorado",place,rate,92.59488166,2014,Rape (revised definition)
"Colorado Springs, Colorado",place,rate,14.21666193,2013,Arson
"Colorado Springs, Colorado",place,rate,252.7851208,2011,Aggravated assault
"Colorado Springs, Colorado",place,rate,76.18039518,2007,Forcible rape
"Colorado Springs, Colorado",place,rate,269.9028449,2009,Aggravated assault
