key,id,name,type,variable,value,year,crime_type,place_name
1600000US0816000--2012--Aggravated assault--count,1600000US0816000,"Colorado Springs, Colorado",place,count,1069,2012,Aggravated assault,"Colorado Springs, CO"
1600000US0816000--2011--Violent crime--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,440.19071,2011,Violent crime,"Colorado Springs, CO"
1600000US0816000--2011--Violent crime--count,1600000US0816000,"Colorado Springs, Colorado",place,count,1865,2011,Violent crime,"Colorado Springs, CO"
1600000US0816000--2011--Robbery--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,105.9762085,2011,Robbery,"Colorado Springs, CO"
1600000US0816000--2011--Robbery--count,1600000US0816000,"Colorado Springs, Colorado",place,count,449,2011,Robbery,"Colorado Springs, CO"
1600000US0816000--2011--Property crime--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,3744.807402,2011,Property crime,"Colorado Springs, CO"
1600000US0816000--2011--Property crime--count,1600000US0816000,"Colorado Springs, Colorado",place,count,15866,2011,Property crime,"Colorado Springs, CO"
1600000US0816000--2011--Murder and nonnegligent manslaughter--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,6.136706949,2011,Murder and nonnegligent manslaughter,"Colorado Springs, CO"
1600000US0816000--2011--Murder and nonnegligent manslaughter--count,1600000US0816000,"Colorado Springs, Colorado",place,count,26,2011,Murder and nonnegligent manslaughter,"Colorado Springs, CO"
1600000US0816000--2011--Motor vehicle theft--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,275.6797583,2011,Motor vehicle theft,"Colorado Springs, CO"
1600000US0816000--2011--Motor vehicle theft--count,1600000US0816000,"Colorado Springs, Colorado",place,count,1168,2011,Motor vehicle theft,"Colorado Springs, CO"
1600000US0816000--2011--Larceny--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,2684.80929,2011,Larceny,"Colorado Springs, CO"
1600000US0816000--2011--Larceny--count,1600000US0816000,"Colorado Springs, Colorado",place,count,11375,2011,Larceny,"Colorado Springs, CO"
1600000US0816000--2011--Forcible rape--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,75.29267372,2011,Forcible rape,"Colorado Springs, CO"
1600000US0816000--2011--Forcible rape--count,1600000US0816000,"Colorado Springs, Colorado",place,count,319,2011,Forcible rape,"Colorado Springs, CO"
1600000US0816000--2011--Burglary--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,784.3183535,2011,Burglary,"Colorado Springs, CO"
1600000US0816000--2011--Burglary--count,1600000US0816000,"Colorado Springs, Colorado",place,count,3323,2011,Burglary,"Colorado Springs, CO"
