key,id,name,type,variable,value,year,crime_type,place_name
1600000US4827000--2006--Robbery--rate,1600000US4827000,"Fort Worth, Texas",place,rate,220.80180505865192,2006,Robbery,"Fort Worth, TX"
1600000US4827000--2011--Motor vehicle theft--count,1600000US4827000,"Fort Worth, Texas",place,count,2442.0,2011,Motor vehicle theft,"Fort Worth, TX"
1600000US4827000--2013--Robbery--rate,1600000US4827000,"Fort Worth, Texas",place,rate,159.1817853453903,2013,Robbery,"Fort Worth, TX"
1600000US4827000--2010--Larceny--rate,1600000US4827000,"Fort Worth, Texas",place,rate,3118.0293475770764,2010,Larceny,"Fort Worth, TX"
1600000US4827000--2008--Arson--rate,1600000US4827000,"Fort Worth, Texas",place,rate,30.79796676386087,2008,Arson,"Fort Worth, TX"
1600000US4827000--2011--All Crimes--rate,1600000US4827000,"Fort Worth, Texas",place,rate,10506.697251464384,2011,All Crimes,"Fort Worth, TX"
1600000US4827000--2012--Arson--rate,1600000US4827000,"Fort Worth, Texas",place,rate,15.322665468555426,2012,Arson,"Fort Worth, TX"
1600000US4827000--2011--Aggravated assault--rate,1600000US4827000,"Fort Worth, Texas",place,rate,383.71940914610536,2011,Aggravated assault,"Fort Worth, TX"
1600000US4827000--2009--Forcible rape--rate,1600000US4827000,"Fort Worth, Texas",place,rate,51.14340056617127,2009,Forcible rape,"Fort Worth, TX"
1600000US4827000--2008--Aggravated assault--rate,1600000US4827000,"Fort Worth, Texas",place,rate,355.88761593794777,2008,Aggravated assault,"Fort Worth, TX"
1600000US4827000--2010--Property crime--rate,1600000US4827000,"Fort Worth, Texas",place,rate,4701.024740331684,2010,Property crime,"Fort Worth, TX"
1600000US4827000--2011--Larceny--count,1600000US4827000,"Fort Worth, Texas",place,count,22617.0,2011,Larceny,"Fort Worth, TX"
1600000US4827000--2007--Motor vehicle theft--count,1600000US4827000,"Fort Worth, Texas",place,count,2685.0,2007,Motor vehicle theft,"Fort Worth, TX"
1600000US4827000--2011--Forcible rape--count,1600000US4827000,"Fort Worth, Texas",place,count,350.0,2011,Forcible rape,"Fort Worth, TX"
